업종그룹,순위,종목코드,종목명,현재가,대비구분,대비가,대비율,조회수치,조회비중
144,480,USACPT,캠든 프로퍼티 트러스트,111.84,3,0,0,12003,0.02
248,481,USAAAL,아메리칸 에어라인스 그룹,18.1,2,0.03,0.17,11966,0.02
218,482,USATECH,바이오-테크네,75.13,3,0,0,11873,0.02
236,483,USANDSN,노드슨,211.48,3,0,0,11825,0.02
172,484,USAPAYC,페이콤 소프트웨어,206.23,2,0.88,0.43,11720,0.02
112,485,USACPB,캠벨스,38.672,5,-0.018,-0.05,11586,0.02
87,486,USANCLH,노르웨이지안 크루즈 라인 홀딩스,26.1,2,0.08,0.31,11432,0.02
280,487,USAALLE,얼리지언,130.93,3,0,0,11279,0.02
108,488,USATAP,몰슨 쿠어스 베버리지 Class B,54.47,3,0,0,11164,0.02
172,489,USADAY,데이포스,70.1783,3,0,0,11117,0.02
144,490,USABXP,BXP,70.7423,5,-1.2577,-1.75,11113,0.02
172,491,USAAUR,오로라 이노베이션,6.7499,2,0.0699,1.05,11015,0.02
112,492,USABG,번지 글로벌,80.49,2,0.05,0.06,10893,0.02
